 ,順位,クラブ名,勝点,試合数,勝,分,負,得点,失点,得失点,直近5試合
,1,松本山雅ＦＣ,70,38,19,13,6,52,33,19,
,2,大分トリニータ,69,38,21,6,11,71,46,25,
,3,ＦＣ町田ゼルビア,68,37,19,11,7,56,39,17,
,4,東京ヴェルディ,66,38,18,12,8,52,37,15,
,5,アビスパ福岡,65,38,18,11,9,54,38,16,
,6,大宮アルディージャ,64,38,19,7,12,60,44,16,
,7,横浜ＦＣ,64,38,17,13,8,56,42,14,
,8,徳島ヴォルティス,54,38,16,6,16,48,39,9,
,9,ヴァンフォーレ甲府,53,38,14,11,13,54,43,11,
,10,モンテディオ山形,52,38,13,13,12,46,47,-1,
,11,ファジアーノ岡山,52,38,14,10,14,38,39,-1,
,12,レノファ山口ＦＣ,52,38,13,13,12,59,63,-4,
,13,ツエーゲン金沢,50,38,13,11,14,45,42,3,
,14,水戸ホーリーホック,50,38,14,8,16,43,42,1,
,15,アルビレックス新潟,49,38,14,7,17,44,51,-7,
,16,ジェフユナイテッド千葉,48,38,14,6,18,67,70,-3,
,17,栃木ＳＣ,46,38,12,10,16,36,45,-9,
,18,愛媛ＦＣ,44,38,11,11,16,31,45,-14,
,19,京都サンガF.C.,37,38,10,7,21,36,53,-17,
,20,ＦＣ岐阜,37,38,10,7,21,41,60,-19,
,21,カマタマーレ讃岐,30,37,7,9,21,26,65,-39,
,22,ロアッソ熊本,27,38,7,6,25,44,76,-32,
